room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
12517081,1429,24950258,Private room,,Boston,,Mission Hill,4,4.5,2,1.0,,45.0,,Room Near Downtown and Trains 市区单房,2017-07-10 15:19:21.132819,42.331752,-71.105599,0101000020E610000061DF4E22C2C651C0F9307BD9762A4540
13602008,1429,78663619,Private room,,Boston,,Fenway,5,4.5,4,1.0,,60.0,,"Historical home in Back Bay near BU, Fenway",2017-07-10 15:19:21.117067,42.349216,-71.099103,0101000020E6100000DFFB1BB457C651C0B69E211CB32C4540
13624971,1429,78954936,Private room,,Boston,,Mission Hill,2,0.0,1,1.0,,55.0,,Cozy private room with access to rest of the house,2017-07-10 15:19:19.625071,42.332391,-71.095828,0101000020E6100000A182C30B22C651C00C3ECDC98B2A4540
13746034,1429,24710200,Private room,,Boston,,Mission Hill,0,0.0,2,1.0,,60.0,,Large private Boston room!,2017-07-10 15:19:19.618602,42.331082,-71.107186,0101000020E6100000B325AB22DCC651C0AB251DE5602A4540
14685769,1429,91169115,Private room,,Boston,,Mission Hill,7,5.0,1,1.0,,55.0,,Pretty room in Boston Brownstone with shared bath,2017-07-10 15:19:18.034733,42.33323,-71.101811,0101000020E6100000E0D7481284C651C0E605D847A72A4540
19703019,1429,138416793,Private room,,Boston,,Mission Hill,0,0.0,1,1.0,,46.0,,"Amazing, Furnished Room in Mission Hill/Longwood",2017-07-10 15:19:18.032407,42.330634,-71.108913,0101000020E6100000FE463B6EF8C651C00C790437522A4540
5784404,1429,26956083,Private room,,Boston,,Brighton,17,5.0,2,1.0,,59.0,,Single Room Near Harvard,2017-07-10 15:19:15.903833,42.359449,-71.140497,0101000020E6100000E90B21E7FDC851C03ACAC16C022E4540
10730102,1429,32150958,Private room,,Boston,,Allston,0,0.0,2,1.0,,40.0,,Comfy Room in Allston,2017-07-10 15:19:15.086071,42.361641,-71.123894,0101000020E6100000EC8A19E1EDC751C045F295404A2E4540
15476718,1429,99345769,Private room,,Boston,,Brighton,0,0.0,3,1.0,,50.0,,Lower Allston,2017-07-10 15:19:15.072099,42.36182,-71.140113,0101000020E6100000A52F849CF7C851C0F584251E502E4540
4710583,1429,17892292,Private room,,Boston,,Allston,2,0.0,2,1.0,,45.0,,Cozy Attic Bedroom in Allston,2017-07-10 15:19:14.255879,42.359774,-71.135349,0101000020E6100000F722DA8EA9C851C0BEF90D130D2E4540
